5, 6722
10, 65111
17, 17035
33, 15643
46, 94913
62, 48652
63, 50989
66, 4157
67, 93863
68, 2871
89, 23697
95, 34223
106, 17300
109, 55144
114, 87135
118, 1107
128, 86943
136, 22724
145, 51404
162, 79491
182, 69098
187, 88925
188, 33580
196, 93439
199, 78864
209, 7317
213, 58805
222, 28479
240, 72016
249, 43289
255, 84173
270, 8279
281, 30431
284, 63707
299, 88470
321, 22655
331, 21410
332, 35210
338, 32292
341, 31527
358, 29798
360, 61127
362, 79137
364, 25582
367, 93942
395, 12393
396, 38593
399, 85062
404, 53415
431, 85190
464, 12415
466, 67923
479, 89060
496, 48639
508, 21535
513, 22071
537, 91991
538, 83589
556, 64688
560, 13804
564, 76934
605, 5153
609, 36139
611, 93706
615, 50323
631, 10715
637, 65402
638, 88217
646, 46635
657, 92791
664, 23335
665, 10785
666, 25262
676, 43373
700, 17910
710, 91571
738, 21593
758, 69395
767, 50915
776, 30015
792, 12054
796, 45099
807, 59541
811, 48548
821, 36117
831, 44007
832, 66925
839, 5608
848, 56139
854, 26785
860, 57767
871, 1128
876, 46377
887, 9829
913, 77634
922, 27731
940, 58685
943, 22862
948, 72102
958, 5019
978, 66382
999, 90297
1001, 38995
1013, 63283
1022, 76880
1029, 89276
1042, 65457
1044, 39502
1049, 55948
1064, 80714
1067, 95093
1069, 79088
1070, 55867
1087, 25473
1088, 64588
1112, 14070
1113, 36146
1131, 61584
1145, 19124
1160, 3317
1168, 74292
1194, 7283
1210, 67570
1221, 695
1245, 64511
1252, 43667
1271, 95875
1286, 38840
1299, 46504
1305, 10147
1310, 2463
1312, 44876
1325, 65997
1332, 35575
1343, 84407
1377, 86546
1384, 30417
1387, 56238
1390, 83353
1403, 78948
1405, 78491
1411, 39455
1428, 43610
1429, 41151
1463, 18567
1475, 76160
1477, 52165
1495, 26262
1503, 15324
1505, 63148
1522, 79312
1535, 5830
1557, 87396
1558, 81106
1564, 65158
1568, 36292
1579, 80073
1606, 95222
1610, 84464
1611, 68958
1618, 79167
1622, 35163
1625, 55638
1626, 56502
1644, 14793
1646, 49812
1650, 33857
1669, 68502
1685, 67903
1688, 12825
1700, 18490
1711, 82478
1716, 41005
1721, 8378
1725, 78412
1737, 77842
1759, 56944
1762, 93437
1766, 21118
1777, 71090
1782, 43281
1783, 67896
1790, 715
1794, 88660
1796, 92996
1800, 44870
1805, 6045
1820, 86486
1834, 7430
1838, 9834
1841, 44403
1854, 86462
1865, 59614
1866, 41586
1868, 5563
1871, 5531
1907, 27572
1908, 43953
1915, 64867
1924, 37761
1946, 51603
1951, 68702
1964, 84565
1982, 35008
1993, 27410
2007, 72489
2020, 8843
2027, 85014
2066, 62749
2071, 2331
2074, 81161
2076, 35066
2078, 11526
2091, 89816
2092, 92110
2109, 22986
2119, 60186
2123, 91968
2132, 95861
2140, 88337
2145, 382
2153, 64028
2158, 58669
2187, 5136
2192, 64548
2207, 78582
2209, 66945
2225, 68245
2240, 74
2250, 70763
2255, 91587
2268, 62455
2279, 59620
2290, 28498
2314, 50196
2317, 4958
2318, 61119
2331, 20476
2335, 80216
2344, 63973
2368, 30095
2379, 84882
2400, 15590
2401, 49632
2422, 86554
2426, 45168
2436, 19396
2447, 19455
2463, 5165
2464, 11674
2487, 95786
2494, 49329
2505, 72567
2513, 74101
2574, 75637
2612, 27128
2629, 82439
2630, 42149
2633, 80505
2636, 86803
2645, 37327
2652, 68201
2666, 5216
2672, 30590
2674, 36311
2690, 20129
2709, 91779
2731, 60086
2738, 48572
2751, 48393
2756, 69386
2774, 89915
2793, 87603
2810, 4581
2820, 89214
2827, 4256
2834, 41108
2837, 90981
2858, 24127
2880, 82764
2910, 92455
2913, 53564
2945, 42270
2966, 5718
2980, 88629
3013, 83187
3030, 27965
3043, 34223
3049, 22725
3058, 84689
3070, 4715
3072, 77956
3075, 32755
3106, 67716
3152, 17671
3156, 92657
3188, 42108
3199, 91278
3207, 41522
3228, 5909
3243, 80426
3244, 43755
3249, 23914
3265, 17685
3268, 94953
3278, 78572
3295, 85866
3310, 67150
3311, 24739
3316, 62592
3350, 69897
3354, 19074
3361, 4467
3379, 66057
3382, 47293
3399, 74638
3404, 46838
3417, 89847
3427, 50514
3432, 16694
3445, 76717
3496, 97956
3503, 80190
3520, 63266
3531, 80523
3547, 79698
3553, 1481
3569, 43973
3579, 24974
3587, 30263
3591, 85204
3600, 24437
3602, 11902
3604, 28497
3615, 95472
3616, 41590
3645, 54864
3650, 30736
3656, 72205
3663, 10216
3670, 5516
3679, 53579
3686, 29257
3689, 5957
3728, 10278
3736, 92313
3741, 13119
3745, 80311
3767, 21949
3773, 23430
3785, 45711
3795, 30600
3812, 99788
3827, 61208
3839, 65371
3843, 56673
3852, 76593
3853, 43809
3880, 68260
3895, 61753
3900, 60570
3902, 16102
3908, 33346
3913, 28666
3938, 49962
3941, 92092
3942, 73230
3944, 94557
3952, 10646
3980, 4113
3981, 39508
3986, 40755
4005, 95585
4006, 8641
4007, 60247
4018, 70911
4026, 74639
4053, 2209
4077, 84892
4090, 66778
4107, 81209
4115, 84888
4120, 14427
4125, 67471
4155, 95144
4158, 79169
4167, 55407
4168, 40830
4172, 75312
4184, 35956
4217, 50737
4228, 71455
4252, 67192
4263, 43910
4265, 12010
4272, 77825
4273, 54915
4276, 18727
4287, 58623
4301, 15665
4308, 73029
4309, 67348
4312, 1284
4314, 41101
4316, 6419
4321, 56889
4323, 66309
4332, 39215
4348, 13069
4352, 24229
4385, 58564
4395, 47966
4403, 30376
4414, 14017
4420, 39951
4475, 72881
4491, 49576
4497, 65365
4502, 37349
4508, 33114
4511, 39151
4519, 81063
4520, 96547
